-5.21	35.02	0
-4.09	33.84	-8001
11.08	33.27	-500
5	33.05	1000
-5.55	32.68	-1000
5.2	32.18	2000
2.5	31.67	2500
34.07	31.65	-1000
35.03	31.45	-1000
28.1	27.1	-1500
34	26.25	0
10.89	25.76	-1000
10.5	25.5	2000
26.43	23.22	-500
66.5	23.12	-500
57.35	23.08	1500
-4.02	22.65	500
-3.67	22.57	1500
-13.32	21.98	-1000
29.17	21.37	-1500
-0.68	21.22	-1500
-12.22	20.93	2000
27.68	20.92	-2500
-0.85	20.6	-2500
6.32	20.47	-2500
9.01	20.29	-2500
9.19	20.18	0
26.18	19.27	1000
20.31	19.03	-3000
17.9	18.9	2000
25.33	18.66	2000
13.08	18.6	0
26.15	18.17	-500
11.3	18.1	3500
57.59	18	-3500
27.5	17.6	-1000
13.13	17.53	2500
54.3	17.17	-500
27.3	16.97	1500
27.63	16.6	3000
11.25	16	1500
18.02	15.42	0
32.22	15.42	3000
26.35	15.35	-500
-0.13	14.65	500
-3.07	14.6	3000
16.5	13.73	2500
11.67	13.32	1000
11.08	13.31	0
10.93	13.3	0
11.02	13.3	0
11.56	13.25	500
11.55	13.22	0
14.57	13.15	500
12	12.83	1500
39.48	12.58	2500
37.25	12	2500
39.71	11.35	2000
41.8	11.2	-2500
12.13	10.38	1500
12.78	20.17	-1000
38.83	7.98	2500
38.67	7.67	3500
13.73	7.32	1000
13.58	7.25	1000
2.43	7.15	1500
38.55	7.1	-3500
38.1	7.06	1500
39.82	6.87	-3000
2.6	6.61	500
-1.42	6.5	1500
10.32	6.45	2501
2.58	6.44	0
2.77	6.43	500
10.23	5.93	-1000
10.05	5.85	-1500
10.33	5.53	3001
23.08	5.08	500
36.78	4.84	-2000
9.4	4.67	6501
10.75	3.8	2501
36.06	3.43	-3000
10.67	2.67	3001
16.93	2.24	-2001
16.51	2.16	-2001
36.5	2	-1500
17.17	1.33	-2001
29.8	1.28	1500
33.33	0.3	-1500
36.58	0.3	-4500
37.51	0.05	-2500
37.35	-0.15	-2000
10.47	-0.2	-4000
29.58	-0.32	-3000
29.58	-0.41	-3000
36.35	-0.78	-1000
37.35	-3.08	-4000
37.7	-3.32	-3500
29.62	-3.43	1000
29.53	-3.45	1000
15.35	-3.52	3001
29.68	-3.58	1500
29.77	-3.7	2000
12.8	-3.84	4001
29.67	-3.92	3501
15.38	-4.07	3501
