H_PSE120mean,H_PSE120std
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.529,0.66131
1.4818,0.57482
1.459,0.49498
1.4309,0.47817
1.4394,0.47965
1.4874,0.49152
1.539,0.5043
1.5738,0.51173
1.5675,0.51886
1.5554,0.54613
1.5114,0.5072
1.3885,0.60298
1.2979,0.65845
1.2826,0.67957
1.2075,0.62053
1.1788,0.60559
1.1954,0.5929
1.2294,0.56574
1.3211,0.56334
1.3492,0.55382
1.3754,0.64109
1.4455,0.84995
1.3761,0.70195
1.3679,0.66776
1.3614,0.66475
1.3478,0.67256
1.3147,0.70937
1.3151,0.66713
1.2688,0.62297
1.3301,0.68127
1.3772,0.64943
1.332,0.60046
1.2622,0.6545
1.2312,0.6605
1.1772,0.59634
1.1218,0.56856
1.1398,0.5897
1.1635,0.54629
1.1763,0.59384
1.1817,0.7223
1.2398,0.8329
1.2563,0.88549
1.2197,0.88313
1.2281,0.99388
1.1331,0.88807
1.11,0.81927
1.1358,0.64602
1.0505,0.94864
1.1544,0.86462
1.2054,0.87188
1.2626,0.9117
1.2095,0.91989
1.1413,0.90915
1.0942,0.96848
1.0966,1.023
1.1109,1.0338
1.1503,1.0088
1.1317,0.93857
1.1621,0.89877
1.2093,0.88634
1.2972,0.92643
1.2302,0.85279
1.1802,0.79099
1.1516,0.75719
1.1324,0.71511
1.1484,0.65228
1.1846,0.62841
1.2444,0.65322
1.2583,0.56473
1.2671,0.59282
1.2767,0.57227
1.2998,0.62493
1.3042,0.5857
1.3435,0.63433
1.3539,0.7014
1.3861,0.73656
1.3747,0.64827
1.3138,0.4878
1.3443,0.44834
1.3195,0.42713
1.2647,0.3412
1.242,0.37853
1.2495,0.47221
1.2911,0.57725
1.3615,0.58957
1.3522,0.50843
